"名称","代码","最新价","高","低","涨跌","涨跌幅","交易量","时间"
"普得集团","PHM","24.98","25.33","24.77","-0.55","-2.15%","5.27M","03:59:59"
"普洛斯公司","PLD","66.46","66.67","66.01","+0.47","+0.71%","2.53M","03:59:59"
"普莱克斯公司","PX","162.33","163.79","161.94","-0.25","-0.15%","1.31M","03:59:59"
"杜克房地产","DRE","27.71","27.91","27.63","+0.03","+0.11%","1.49M","03:59:59"
"杜克能源公司","DUK","78.94","79.32","78.00","+0.85","+1.09%","3.26M","03:59:59"
"林肯国民金融","LNC","67.90","68.67","67.43","+0.15","+0.22%","970.28K","03:59:59"
"柯尔百货","KSS","74.73","76.50","74.58","-0.87","-1.15%","2.14M","03:59:59"
"标普全球","SPGI","204.03","206.94","203.87","-1.25","-0.61%","958.07K","03:59:59"
"桑普拉能源公司","SRE","112.00","112.77","110.99","+0.94","+0.85%","2.27M","03:59:59"
"梅特勒-托利多","MTD","610.00","619.28","604.18","-1.29","-0.21%","136.77K","03:59:59"
"梅西百货","M","34.59","35.06","34.46","-0.30","-0.86%","3.73M","03:59:59"
"欧特克公司","ADSK","156.00","156.51","154.87","+1.18","+0.76%","1.03M","03:59:59"
"永利度假村","WYNN","128.94","131.18","128.66","-2.73","-2.07%","2.58M","03:59:59"
"江森自控公司","JCI","35.55","35.86","35.44","-0.13","-0.36%","3.58M","03:59:59"
"汽车地带","AZO","779.78","788.30","772.00","+1.78","+0.23%","368.50K","03:59:59"
"沃尔玛公司","WMT","94.13","94.96","93.82","-0.46","-0.49%","5.36M","03:59:59"
"沃特世","WAT","195.36","196.33","194.35","+0.13","+0.07%","302.85K","03:59:59"
"沃特迪士尼公司","DIS","116.04","116.60","115.10","+0.83","+0.72%","5.20M","03:59:59"
"沃那多房产信托","VNO","71.95","72.60","71.81","-0.01","-0.01%","932.71K","03:59:59"
"沛齐公司","PAYX","73.45","74.35","73.37","-0.14","-0.19%","1.47M","03:59:59"
